X_deseado mm;Y_deseado mm;X_real mm;Y_real mm;error X mm;error Y mm
110;-180;100;-170;10;-10
110;-150;99;-142;11;-8
110;-120;98;-110;12;-10
110;-90;98;-79;12;-11
110;-60;96;-53;14;-7
110;-30;98;-26;12;-4
110;0;99;2;11;-2
110;30;99;26;11;4
110;60;98;52;12;8
110;90;100;77;10;13
110;120;106;108;4;12
110;150;108;133;2;17
110;180;112;166;-2;14
140;-180;130;-172;10;-8
140;-150;128;-143;12;-7
140;-120;124;-109;16;-11
140;-90;125;-84;15;-6
140;-60;126;-56;14;-4
140;-30;126;-28;14;-2
140;0;126;0;14;0
140;30;125;26;15;4
140;60;127;51;13;9
140;90;131;80;9;10
140;120;135;106;5;14
140;150;139;137;1;13
140;180;143;166;-3;14
170;-180;159;-177;11;-3
170;-150;159;-147;11;-3
170;-120;159;-120;11;0
170;-90;161;-90;9;0
170;-60;157;-60;13;0
170;-30;158;-30;12;0
170;0;158;0;12;0
170;30;162;26;8;4
170;60;165;53;5;7
170;90;168;82;2;8
170;120;167;109;3;11
170;150;170;137;0;13
170;180;174;170;-4;10
200;-180;185;-177;15;-3
200;-150;186;-148;14;-2
200;-120;188;-119;12;-1
200;-90;188;-91;12;1
200;-60;189;-62;11;2
200;-30;190;-34;10;4
200;0;192;-3;8;3
200;30;191;25;9;5
200;60;195;53;5;7
200;90;194;81;6;9
200;120;197;108;3;12
200;150;200;136;0;14
200;180;204;167;-4;13
230;-180;215;-179;15;-1
230;-150;217;-150;13;0
230;-120;218;-122;12;2
230;-90;218;-93;12;3
230;-60;217;-63;13;3
230;-30;219;-35;11;5
230;0;219;-5;11;5
230;30;223;22;7;8
230;60;223;50;7;10
230;90;224;80;6;10
230;120;227;108;3;12
230;150;230;139;0;11
230;180;231;161;-1;19
260;-180;247;-186;13;6
260;-150;244;-156;16;6
260;-120;243;-123;17;3
260;-90;248;-96;12;6
260;-60;248;-65;12;5
260;-30;253;-39;7;9
260;0;248;-5;12;5
260;30;249;22;11;8
260;60;250;47;10;13
260;90;254;78;6;12
260;120;257;107;3;13
260;150;259;135;1;15
260;180;260;166;0;14
